problem,learner,aut,bbo,property,size,realsymbols,learnsymbols,eqsymbols,emsymbols,emosymbols,insymbols,realqueries,learnqueries,eqqueries,emqueries,emoqueries,inqueries,length,multiplier,refinements
8,TTT,monitor,disprove-first,15,1,16,15,0,1,0,0,17,16,0,1,0,0,1,40.000000,1
8,TTT,monitor,disprove-first,23,1,19,15,0,4,0,0,19,16,0,3,0,0,1,40.000000,1
8,TTT,monitor,disprove-first,38,1,20,15,0,5,0,0,20,16,0,4,0,0,1,40.000000,1
8,TTT,monitor,disprove-first,48,1,21,15,0,6,0,0,21,16,0,5,0,0,1,40.000000,1
8,TTT,monitor,disprove-first,51,1,22,15,0,7,0,0,22,16,0,6,0,0,1,40.000000,1
8,TTT,monitor,disprove-first,65,1,23,15,0,8,0,0,23,16,0,7,0,0,1,40.000000,1
8,TTT,monitor,disprove-first,75,1,24,15,0,9,0,0,24,16,0,8,0,0,1,40.000000,1
8,TTT,monitor,disprove-first,82,1,27,15,0,12,0,0,26,16,0,10,0,0,1,40.000000,1
8,TTT,monitor,disprove-first,85,1,28,15,0,13,0,0,27,16,0,11,0,0,1,40.000000,1
8,TTT,monitor,disprove-first,95,1,29,15,0,14,0,0,28,16,0,12,0,0,1,40.000000,1
8,TTT,monitor,disprove-first,99,1,30,15,0,15,0,0,29,16,0,13,0,0,1,40.000000,1
8,TTT,monitor,disprove-first,59,2,145,118,0,25,0,2,79,60,0,18,0,1,2,40.000000,2
8,TTT,monitor,disprove-first,69,2,147,118,0,27,0,2,80,60,0,19,0,1,2,40.000000,2
8,TTT,monitor,disprove-first,58,3,329,287,0,38,0,4,148,122,0,24,0,2,2,40.000000,3
8,TTT,monitor,disprove-first,67,3,331,287,0,40,0,4,149,122,0,25,0,2,2,40.000000,3
8,TTT,monitor,disprove-first,77,7,2263,2189,0,63,0,11,606,570,0,32,0,4,3,40.000000,5
8,TTT,monitor,disprove-first,5,31,29862,28791,987,73,0,11,3894,3560,297,33,0,4,10,40.000000,6
8,TTT,monitor,disprove-first,7,31,29876,28791,987,87,0,11,3895,3560,297,34,0,4,14,40.000000,6
8,TTT,monitor,disprove-first,8,31,29883,28791,987,94,0,11,3896,3560,297,35,0,4,7,40.000000,6
8,TTT,monitor,disprove-first,10,31,29893,28791,987,104,0,11,3897,3560,297,36,0,4,10,40.000000,6
8,TTT,monitor,disprove-first,13,31,29904,28791,987,115,0,11,3898,3560,297,37,0,4,11,40.000000,6
8,TTT,monitor,disprove-first,17,31,29918,28791,987,129,0,11,3900,3560,297,39,0,4,6,40.000000,6
8,TTT,monitor,disprove-first,20,31,29923,28791,987,134,0,11,3901,3560,297,40,0,4,5,40.000000,6
8,TTT,monitor,disprove-first,26,31,29931,28791,987,142,0,11,3902,3560,297,41,0,4,8,40.000000,6
8,TTT,monitor,disprove-first,28,31,29944,28791,987,155,0,11,3903,3560,297,42,0,4,13,40.000000,6
8,TTT,monitor,disprove-first,29,31,29953,28791,987,164,0,11,3904,3560,297,43,0,4,9,40.000000,6
8,TTT,monitor,disprove-first,30,31,29965,28791,987,176,0,11,3905,3560,297,44,0,4,12,40.000000,6
8,TTT,monitor,disprove-first,31,31,29972,28791,987,183,0,11,3906,3560,297,45,0,4,7,40.000000,6
8,TTT,monitor,disprove-first,34,31,29985,28791,987,196,0,11,3908,3560,297,47,0,4,8,40.000000,6
8,TTT,monitor,disprove-first,42,31,30018,28791,987,229,0,11,3912,3560,297,51,0,4,5,40.000000,6
8,TTT,monitor,disprove-first,43,31,30024,28791,987,235,0,11,3913,3560,297,52,0,4,6,40.000000,6
8,TTT,monitor,disprove-first,44,31,30032,28791,987,243,0,11,3914,3560,297,53,0,4,8,40.000000,6
8,TTT,monitor,disprove-first,47,31,30049,28791,987,260,0,11,3916,3560,297,55,0,4,9,40.000000,6
8,TTT,monitor,disprove-first,50,31,30060,28791,987,271,0,11,3917,3560,297,56,0,4,11,40.000000,6
8,TTT,monitor,disprove-first,54,31,30076,28791,987,287,0,11,3919,3560,297,58,0,4,11,40.000000,6
8,TTT,monitor,disprove-first,62,31,30120,28791,987,331,0,11,3923,3560,297,62,0,4,14,40.000000,6
8,TTT,monitor,disprove-first,71,31,30129,28791,987,340,0,11,3924,3560,297,63,0,4,9,40.000000,6
8,TTT,monitor,disprove-first,72,31,30142,28791,987,353,0,11,3925,3560,297,64,0,4,13,40.000000,6
8,TTT,monitor,disprove-first,76,31,30164,28791,987,375,0,11,3927,3560,297,66,0,4,6,40.000000,6
8,TTT,monitor,disprove-first,79,31,30167,28791,987,378,0,11,3928,3560,297,67,0,4,3,40.000000,6
8,TTT,monitor,disprove-first,87,31,30192,28791,987,403,0,11,3931,3560,297,70,0,4,10,40.000000,6
8,TTT,monitor,disprove-first,89,31,30203,28791,987,414,0,11,3932,3560,297,71,0,4,11,40.000000,6
8,TTT,monitor,disprove-first,92,31,30224,28791,987,435,0,11,3934,3560,297,73,0,4,13,40.000000,6
