problem,learner,aut,bbo,property,size,realsymbols,learnsymbols,eqsymbols,emsymbols,emosymbols,insymbols,realqueries,learnqueries,eqqueries,emqueries,emoqueries,inqueries,length,multiplier,refinements
8,TTT,monitor-buchi,disprove-first,15,1,16,15,0,1,200,0,17,16,0,1,80,0,1,40.000000,1
8,TTT,monitor-buchi,disprove-first,23,1,19,15,0,4,520,0,19,16,0,3,240,0,1,40.000000,1
8,TTT,monitor-buchi,disprove-first,38,1,20,15,0,5,640,0,20,16,0,4,320,0,1,40.000000,1
8,TTT,monitor-buchi,disprove-first,48,1,21,15,0,6,640,0,21,16,0,5,320,0,1,40.000000,1
8,TTT,monitor-buchi,disprove-first,51,1,22,15,0,7,640,0,22,16,0,6,320,0,1,40.000000,1
8,TTT,monitor-buchi,disprove-first,65,1,23,15,0,8,760,0,23,16,0,7,400,0,1,40.000000,1
8,TTT,monitor-buchi,disprove-first,75,1,24,15,0,9,760,0,24,16,0,8,400,0,1,40.000000,1
8,TTT,monitor-buchi,disprove-first,82,1,27,15,0,12,960,0,26,16,0,10,480,0,1,40.000000,1
8,TTT,monitor-buchi,disprove-first,85,1,28,15,0,13,960,0,27,16,0,11,480,0,1,40.000000,1
8,TTT,monitor-buchi,disprove-first,95,1,29,15,0,14,960,0,28,16,0,12,480,0,1,40.000000,1
8,TTT,monitor-buchi,disprove-first,99,1,30,15,0,15,960,0,29,16,0,13,480,0,1,40.000000,1
8,TTT,monitor-buchi,disprove-first,3,28,14272,13095,0,90,88143,1087,2137,2105,0,29,12706,3,5,40.000000,4
8,TTT,monitor-buchi,disprove-first,17,28,14333,13095,0,151,461083,1087,2146,2105,0,38,35105,3,4,40.000000,4
8,TTT,monitor-buchi,disprove-first,20,28,14341,13095,0,159,482363,1087,2148,2105,0,40,37345,3,3,40.000000,4
8,TTT,monitor-buchi,disprove-first,42,28,14410,13095,0,228,924694,1087,2158,2105,0,50,64221,3,2,40.000000,4
8,TTT,monitor-buchi,disprove-first,43,28,14414,13095,0,232,924694,1087,2159,2105,0,51,64221,3,4,40.000000,4
8,TTT,monitor-buchi,disprove-first,44,28,14418,13095,0,236,924694,1087,2160,2105,0,52,64221,3,4,40.000000,4
8,TTT,monitor-buchi,disprove-first,47,28,14426,13095,0,244,963894,1087,2161,2105,0,53,66461,3,8,40.000000,4
8,TTT,monitor-buchi,disprove-first,76,28,14519,13095,0,337,1570862,1087,2177,2105,0,69,106778,3,4,40.000000,4
8,TTT,monitor-buchi,disprove-first,77,28,14522,13095,0,340,1570862,1087,2178,2105,0,70,106778,3,3,40.000000,4
8,TTT,monitor-buchi,disprove-first,79,28,14534,13095,0,352,1594382,1087,2180,2105,0,72,109018,3,3,40.000000,4
8,TTT,monitor-buchi,disprove-first,81,28,14537,13095,0,355,1594382,1087,2181,2105,0,73,109018,3,3,40.000000,4
8,TTT,monitor-buchi,disprove-first,8,33,19197,16515,0,467,2465931,2215,2935,2845,0,86,153973,4,6,40.000000,5
8,TTT,monitor-buchi,disprove-first,19,33,19254,16515,0,524,3249700,2215,2942,2845,0,93,175075,4,6,40.000000,5
8,TTT,monitor-buchi,disprove-first,26,33,19270,16515,0,540,3388258,2215,2945,2845,0,96,182993,4,4,40.000000,5
8,TTT,monitor-buchi,disprove-first,58,33,19357,16515,0,627,4331792,2215,2958,2845,0,109,225225,4,2,40.000000,5
8,TTT,monitor-buchi,disprove-first,59,33,19359,16515,0,629,4331792,2215,2959,2845,0,110,225225,4,2,40.000000,5
8,TTT,monitor-buchi,disprove-first,67,33,19384,16515,0,654,4577282,2215,2963,2845,0,114,238423,4,2,40.000000,5
8,TTT,monitor-buchi,disprove-first,69,33,19389,16515,0,659,4612922,2215,2965,2845,0,116,241063,4,2,40.000000,5
8,TTT,monitor-buchi,disprove-first,72,33,19409,16515,0,679,4743489,2215,2967,2845,0,118,243701,4,13,40.000000,5
8,TTT,monitor-buchi,disprove-first,5,43,27733,24683,0,824,5836598,2226,4199,4059,0,135,290969,5,6,40.000000,6
8,TTT,monitor-buchi,disprove-first,24,43,27816,24683,0,907,6760200,2226,4208,4059,0,144,328807,5,6,40.000000,6
8,TTT,monitor-buchi,disprove-first,35,43,27882,24683,0,973,7291531,2226,4215,4059,0,151,352881,5,8,40.000000,6
8,TTT,monitor-buchi,disprove-first,68,43,27967,24683,0,1058,8483416,2226,4227,4059,0,163,407917,5,5,40.000000,6
8,TTT,monitor-buchi,disprove-first,97,43,28082,24683,0,1173,9615061,2226,4240,4059,0,176,452633,5,9,40.000000,6
8,TTT,monitor-buchi,disprove-first,10,56,46053,40025,0,1907,17295222,4121,6378,6115,0,255,826426,8,7,40.000000,9
8,TTT,monitor-buchi,disprove-first,50,56,46137,40025,0,1991,18450898,4121,6390,6115,0,267,898096,8,7,40.000000,9
8,TTT,monitor-buchi,disprove-first,53,56,46144,40025,0,1998,18506898,4121,6391,6115,0,268,902576,8,7,40.000000,9
